index,time,longitude,latitude,magnitude,x,y
1952,2008-01-15 00:01:10.130,-116.45852,33.47972,1.16,-0.24761700660105243,4.0060200376205435
1957,2008-01-15 01:23:14.964,-116.60532,33.42003,1.34,-6.8808816317220085,-9.615648279117224
1967,2008-01-15 02:58:37.244,-116.62216,33.44155,1.07,-4.486282274870362,-11.175786069811517
1996,2008-01-15 07:43:01.549,-116.76971,33.6728,1.13,21.253117236248954,-24.799960245775132
2068,2008-01-16 00:34:05.312,-116.76193,33.67393,1.18,21.37693352991171,-24.079696966942837
2083,2008-01-16 04:25:09.195,-116.78108,33.84062,2.3,39.916610364814474,-25.801681653256853
2129,2008-01-16 10:16:25.492,-116.80257,33.93195,1.35,50.077593922007146,-27.75681928105142
2143,2008-01-16 12:38:48.374,-116.35377,33.33239,1.5,-16.621022111573428,13.744421253949067
2215,2008-01-17 06:04:46.528,-116.32643,33.31625,1.05,-18.411760375344596,16.287409951577644
2231,2008-01-17 10:35:54.817,-116.83615,33.72505,1.95,27.080906340155675,-30.92941369014352
2232,2008-01-17 11:14:34.740,-116.7824,33.68279,1.19,22.36706072710623,-25.97125754272971
2240,2008-01-17 13:07:37.020,-116.8045,33.1258,1.09,-39.561585350373555,-28.196430361568122
2272,2008-01-17 21:46:17.340,-116.32967,33.8985,1.6,46.330961441468936,15.878862749776072
2303,2008-01-18 03:07:25.168,-116.40375,33.35353,1.14,-14.275851405972576,9.098914900500677
2310,2008-01-18 03:45:23.348,-116.20917,33.3396,1.29,-15.790856868013233,27.17592841288017
2311,2008-01-18 03:45:43.298,-116.20857,33.33978,1.53,-15.77068483649706,27.2316090906934
2369,2008-01-18 09:25:27.952,-116.85824,33.88592,1.15,44.97561822208192,-32.91058213718433
2466,2008-01-19 02:22:50.469,-116.21556,33.3496,1.42,-14.680560294296509,26.579272698378105
2519,2008-01-19 13:53:09.409,-116.3873,33.35256,1.05,-14.382150062031824,10.626917527215788
2536,2008-01-19 18:54:43.875,-116.48168,33.46834,1.19,-1.5136690861694722,1.8582763315064739
2545,2008-01-19 20:27:04.540,-116.75388,33.66524,1.04,20.408809666791957,-23.337127750138123
2588,2008-01-20 04:33:44.474,-116.37305,33.37741,1.11,-11.617409509087596,11.94706295528499
2624,2008-01-20 09:29:58.877,-116.45354,33.50565,1.16,2.635870525833004,4.466555391862627
2627,2008-01-20 09:36:24.297,-116.45391,33.50584,1.18,2.6569817062170045,4.432240071642297
2677,2008-01-20 16:28:41.294,-116.87069,33.47411,1.42,-0.8114653718694551,-34.2230737021915
2693,2008-01-20 20:37:37.339,-116.0219,33.92312,1.12,49.15804351883659,44.271782105828706
2702,2008-01-20 22:14:38.105,-116.02375,33.6869,2.61,22.890857195260605,44.22265434963484
2744,2008-01-21 03:23:47.604,-116.72972,33.64896,1.14,18.593380241368088,-21.105193165503415
2745,2008-01-21 03:24:19.303,-116.31463,33.00832,1.22,-52.650091510697116,17.44519999024667
2795,2008-01-21 12:34:59.583,-116.56871,33.17208,1.05,-34.45445151227527,-6.2356221907554135
2874,2008-01-22 06:17:44.310,-116.83401,33.72067,1.16,26.593236551809802,-30.733067323814176
2885,2008-01-22 08:29:44.806,-116.83281,33.72069,1.83,26.595105245833835,-30.622076275744618
2886,2008-01-22 08:30:42.457,-116.83166,33.71961,1.08,26.474675678617,-30.516099813348387
2970,2008-01-22 21:54:08.886,-116.37305,33.37765,1.85,-11.590722731332331,11.94702995512885
2976,2008-01-22 22:47:38.334,-116.83554,33.7216,1.0,26.697102447698757,-30.874238036764126
2994,2008-01-23 04:17:07.098,-116.66125,33.61694,1.35,15.021077561942105,-14.772822027165818
3061,2008-01-23 11:44:42.935,-116.37252,33.37794,1.15,-11.558415171486793,11.996202904799796
3105,2008-01-23 22:45:22.275,-116.18166,33.84401,1.21,40.304439073614375,29.558293008952443
3137,2008-01-24 03:00:42.407,-116.47941,33.49003,1.99,0.8981917725473576,2.0683185560443467
3165,2008-01-24 06:22:20.081,-116.47921,33.48977,1.24,0.8692850913458706,2.0868717273594792
3229,2008-01-24 15:07:07.092,-116.61074,33.41719,1.03,-7.1961605284394565,-10.119006432275672
3249,2008-01-24 18:39:23.245,-116.72014,33.63073,1.1,16.564389144354816,-20.22270589781618
3255,2008-01-24 18:52:42.330,-116.45401,33.50629,1.06,2.7070151587924545,4.422945319244975
3283,2008-01-25 00:13:57.502,-116.79042,33.69225,1.1,23.421001509109946,-26.710392970517358
3288,2008-01-25 01:19:00.322,-116.79042,33.69225,1.14,23.421001509109946,-26.710392970517358
3327,2008-01-25 08:16:24.342,-116.35916,33.93857,1.48,50.782403670745225,13.150906289457316
3399,2008-01-25 20:31:33.087,-116.83899,33.39294,1.26,-9.847142680722097,-31.312150938012024
3491,2008-01-26 17:46:35.482,-116.11142,33.25246,1.22,-25.45055327019751,36.29270011792902
3496,2008-01-26 19:26:16.463,-116.83682,33.38968,1.16,-10.210289319235601,-31.111860365895826
3516,2008-01-27 00:56:57.923,-116.37294,33.37787,1.55,-11.566247204545434,11.95721369587016
3518,2008-01-27 01:02:33.640,-116.93537,33.40761,1.77,-8.182732931984823,-40.25305523052323
3543,2008-01-27 04:34:24.007,-116.37333,33.37747,1.13,-11.610769959036945,11.921055335986775
3600,2008-01-27 17:41:18.041,-116.7223,33.97711,1.28,55.08048938430285,-20.34041846233654
3601,2008-01-27 17:44:37.130,-116.93537,33.40761,1.43,-8.182732931984823,-40.25305523052323
3649,2008-01-28 13:14:55.296,-116.71448,33.69678,1.52,23.907721048248373,-19.68358914231122
3677,2008-01-28 20:54:11.826,-116.68556,33.63607,1.0,17.151961442748785,-17.020113572543668
3789,2008-01-29 16:36:26.089,-116.87128,33.47392,1.23,-0.8323978175520623,-34.277871965680596
3790,2008-01-29 16:38:37.073,-116.87109,33.47387,2.85,-0.8380202439470138,-34.260269006196644
3860,2008-01-30 11:55:17.827,-116.24713,33.30185,1.38,-19.997739161215964,23.65989084588254
3863,2008-01-30 12:22:06.905,-116.34498,33.35956,2.32,-13.59866051843726,14.556490397085287
3899,2008-01-30 21:41:50.810,-116.07975,33.77201,1.01,32.332149598028906,39.00277617577764
3915,2008-01-31 02:50:33.129,-116.48684,33.48506,1.01,0.34542965772630224,1.3793800034218957
3926,2008-01-31 04:43:06.273,-116.898,33.83924,1.25,39.79839758384236,-36.60070800317494
3930,2008-01-31 04:54:32.676,-116.6499,33.8925,1.46,45.66038497008308,-13.677901431676668
3954,2008-01-31 10:44:44.616,-116.02507,33.68754,2.78,22.961459469240737,44.10019700402213
3976,2008-01-31 17:04:19.058,-116.13674,33.7866,1.22,33.934473325233405,33.72939169822101
3981,2008-01-31 19:36:53.149,-116.81162,33.93294,1.11,50.19014155810427,-28.591433070620848
4006,2008-02-01 04:00:48.973,-116.82366,33.97405,1.15,54.76475173323039,-29.687931679964592
4086,2008-02-01 17:46:31.702,-116.98713,33.99217,1.05,56.838443394252074,-44.752546662711474
4100,2008-02-01 22:54:32.517,-116.49505,33.50835,1.04,2.9350805503242325,0.6178194482815922
4116,2008-02-02 03:34:45.525,-116.93584,33.84408,1.68,40.350595744508674,-40.093298285653134
4143,2008-02-02 07:44:02.147,-116.31864,33.26014,1.17,-24.64965848164552,17.022218860216135
4180,2008-02-02 16:49:10.027,-116.37241,33.37905,1.2,-11.434976126195954,12.006263500870613
4184,2008-02-02 18:02:30.277,-116.71126,33.64707,1.06,18.37961720349745,-19.39688836543336
4213,2008-02-03 03:37:52.862,-116.58625,33.45957,1.48,-2.4858368031596743,-7.842196543525412
4226,2008-02-03 05:04:17.132,-116.72994,33.66805,1.0,20.71613493294838,-21.12087810704426
4253,2008-02-03 08:48:14.466,-116.20048,33.87491,1.0,43.735143351391265,27.810160474786237
4442,2008-02-05 05:52:11.798,-116.55858,33.49508,1.13,1.460947849201519,-5.273168059547343
4476,2008-02-05 08:48:39.237,-116.37249,33.37852,1.2,-11.493918663681066,11.998908438693046
4525,2008-02-05 17:47:14.528,-116.45827,33.50819,1.14,2.9181121597894064,4.0278819379198625
4530,2008-02-05 18:50:13.298,-116.85438,33.88824,1.25,45.23236921078475,-32.55338865654024
4554,2008-02-05 22:42:12.366,-116.32985,33.34628,1.68,-15.073108124174773,15.9641117779318
4557,2008-02-05 22:53:25.237,-116.37365,33.38063,1.2,-11.259430704306153,11.89090928588174
4594,2008-02-06 03:33:21.555,-116.37245,33.37858,1.36,-11.487242351339843,12.002614300572935
4609,2008-02-06 06:37:43.227,-116.37252,33.37861,1.79,-11.483914584128536,11.996110399099614
4618,2008-02-06 07:31:33.796,-116.98423,33.99522,1.28,57.17633550020676,-44.48359576074944
4624,2008-02-06 08:07:48.566,-116.62463,33.43966,1.19,-4.696172233321852,-11.405216964372315
4643,2008-02-06 09:30:24.770,-116.71593,33.64182,1.4,17.79672732836081,-19.830378961592746
4644,2008-02-06 09:30:41.988,-116.71631,33.64226,1.2,17.84572579348771,-19.86545479203681
4665,2008-02-06 09:55:45.008,-116.27989,33.50052,1.26,2.086373227439062,20.56820866634938
4728,2008-02-06 18:58:26.592,-116.45457,33.45841,1.22,-2.617021512579526,4.373440442915564
4732,2008-02-06 19:29:47.910,-116.04617,33.20121,1.08,-31.124623127202174,42.38502751802277
4737,2008-02-06 22:10:42.015,-116.48045,33.47044,1.06,-1.2801370608413511,1.9723205917365367
4744,2008-02-07 01:13:38.742,-116.85222,33.95432,2.04,52.579441977459794,-32.329018048293804
4751,2008-02-07 02:59:21.143,-116.45007,33.45558,1.43,-2.931504648446787,4.791054603945769
4766,2008-02-07 04:40:24.233,-116.8376,33.3917,1.12,-9.985442102275499,-31.183551422164513
4814,2008-02-07 13:07:18.279,-116.45348,33.51708,1.36,3.906831087451509,4.471527898198723
4832,2008-02-07 15:56:14.664,-116.34642,33.31075,1.96,-19.02628415852423,14.43084625016296
4840,2008-02-07 17:00:10.858,-116.55858,33.49508,1.42,1.460947849201519,-5.273168059547343
4859,2008-02-07 22:52:21.344,-116.51864,33.47252,1.61,-1.0489255734886018,-1.5699751781424214
4916,2008-02-08 09:54:31.680,-116.47378,33.14376,1.29,-37.60514887337411,2.600739885773132
4956,2008-02-08 15:40:24.322,-116.76366,33.71563,1.65,26.014161467057605,-24.22804739063683
4986,2008-02-08 23:24:02.618,-116.47404,33.48556,1.12,0.40127027926827386,2.566435532349324
5290,2008-02-10 10:52:04.580,-116.81128,33.93214,1.32,50.10109179729235,-28.56033259355128
5327,2008-02-10 21:43:24.597,-116.45337,33.506,1.1,2.6747960743792,4.482299296391504
5339,2008-02-10 23:34:54.141,-116.53941,33.4482,1.13,-3.75267958418347,-3.4974422720489726
5512,2008-02-11 18:53:01.947,-116.34415,33.35942,2.0,-13.614111290566191,14.633599376497003
5702,2008-02-12 07:19:40.254,-116.60409,33.41909,1.19,-6.98551799224049,-9.501595617526583
5770,2008-02-12 11:13:50.193,-116.17859,33.808,1.08,36.301195334699116,29.854352530150855
5790,2008-02-12 12:47:17.377,-116.45501,33.47279,1.53,-1.0180569435713251,4.331903514685689
5812,2008-02-12 14:45:28.110,-116.72028,33.95127,1.05,52.20681858467464,-20.160251198573565
5818,2008-02-12 15:33:39.314,-116.97258,33.9849,1.53,56.02385498733233,-43.41482898902268
5834,2008-02-12 18:40:05.048,-116.88203,33.97778,1.4,55.19778461250072,-35.06890302432696
5911,2008-02-13 05:31:46.055,-116.37359,33.25354,1.5,-25.391184568632703,11.913863367901978
5940,2008-02-13 07:37:17.873,-116.76882,33.82201,1.91,37.84428613921878,-24.674731461013682
5944,2008-02-13 08:37:14.658,-116.79954,33.94568,1.36,51.6034897652476,-27.47286092974121
6000,2008-02-13 13:37:37.533,-116.80406,33.70256,1.22,24.571017490681918,-27.96897824362618
6021,2008-02-13 15:20:43.626,-116.80346,33.70256,1.14,24.570855757100674,-27.913474550016097
6026,2008-02-13 16:19:26.660,-116.71666,33.70539,1.06,24.865524926998532,-19.883277464128515
6054,2008-02-13 22:35:00.337,-116.09824,33.73822,1.3,28.568071088749427,37.30839137725106
6082,2008-02-14 03:11:31.252,-116.37046,33.41822,1.02,-7.079244747573075,12.181830904073252
6093,2008-02-14 04:43:19.486,-116.37255,33.37487,1.06,-11.899786996315648,11.9938410304146
6094,2008-02-14 04:56:51.646,-116.43025,33.46588,1.05,-1.785107458721736,6.628996218150857
6138,2008-02-14 09:44:39.460,-116.716,33.66628,1.14,20.516567207465354,-19.83123025861881
6202,2008-02-14 21:36:06.767,-116.7521,33.71626,1.04,26.081571575759096,-23.15866777881311
6368,2008-02-16 04:43:54.798,-116.71151,33.64723,1.75,18.397455169602043,-19.41999381513251
6389,2008-02-16 06:32:09.065,-116.7272,33.68077,1.14,22.12997880590608,-20.864227963588686
6453,2008-02-16 16:35:05.200,-116.02265,33.68626,2.92,22.82016239523735,44.32475842331182
6454,2008-02-16 16:35:55.796,-116.02232,33.68611,1.09,22.80362434084636,44.35536830429059
6465,2008-02-16 20:17:28.215,-116.5749,33.49182,1.07,1.0994000339224004,-6.786762874892344
6534,2008-02-17 08:20:20.748,-116.04489,33.09713,1.39,-42.69724392447724,42.55472872774084
6611,2008-02-17 15:13:04.464,-116.57531,33.49326,1.0,1.2595475881569547,-6.824669758664432
6686,2008-02-18 07:06:07.815,-116.77072,33.84208,1.39,40.07642080869611,-24.844433159785726
6697,2008-02-18 09:00:06.627,-116.72426,33.68951,1.01,23.101234118729515,-20.59010059600041
6759,2008-02-18 15:30:38.795,-116.75051,33.70687,1.14,25.03709780402918,-23.014117549828985
6779,2008-02-18 20:52:05.001,-116.07489,33.27344,1.56,-23.10435251329473,39.6799900852853
6785,2008-02-18 22:46:42.129,-116.82086,33.71164,1.7,25.585325229689186,-29.51996641665018
6786,2008-02-18 22:46:53.897,-116.82074,33.7115,1.06,25.569723787398996,-29.508914866826267
6808,2008-02-19 02:29:27.797,-116.81484,33.94838,1.41,51.90788382946695,-28.883285896626944
6810,2008-02-19 02:31:52.020,-116.4552,33.4743,1.31,-0.85016051632636,4.314205257949448
6811,2008-02-19 02:31:54.290,-116.47023,33.48129,1.18,-0.07343141912038867,2.9199163295992467
6869,2008-02-19 07:36:57.320,-116.34684,33.35973,1.14,-13.580016253421123,14.38371664146165
6872,2008-02-19 07:57:39.517,-116.70229,33.66649,1.48,20.537379899058134,-18.56238833260343
7019,2008-02-19 18:55:15.274,-116.54021,33.49075,1.51,0.9786916847935454,-3.5699123758984297
7222,2008-02-20 18:18:28.941,-116.93817,33.96992,1.26,54.3442388081357,-40.24923818721944
7228,2008-02-20 19:23:49.082,-116.53205,33.45957,1.0,-2.4886168689045505,-2.814217360335168
7291,2008-02-21 08:57:33.710,-116.103,33.3133,1.06,-18.682497371744727,37.04977637057994
7297,2008-02-21 09:13:42.773,-116.59745,33.57289,1.1,10.11567254724424,-8.8695660757478
7400,2008-02-22 04:08:57.378,-116.37224,33.37785,1.06,-11.568390366222149,12.022214586264562
7427,2008-02-22 07:49:41.343,-116.71079,33.64504,1.01,18.153803806108463,-19.353838078825436
7466,2008-02-22 10:17:20.117,-116.95609,33.9834,1.26,55.85026052662473,-41.895163850961644
7502,2008-02-22 15:30:34.826,-116.80224,33.70077,1.28,24.371489175718754,-27.801195208411972
7503,2008-02-22 16:03:15.260,-116.02056,33.68381,1.42,22.548631076492136,44.519398262291915
7549,2008-02-23 00:58:26.558,-116.72725,33.50877,1.15,3.0044724021776124,-20.91046961302552
7577,2008-02-23 07:18:55.342,-116.3754,33.37537,1.18,-11.844514732126271,11.729129182274193
7631,2008-02-23 14:45:57.284,-116.71478,33.90655,1.54,47.23312557573262,-19.663221378663728
7686,2008-02-23 23:47:34.797,-116.58646,33.45929,1.09,-2.5169555067043508,-7.861703035571083
7833,2008-02-25 00:55:35.670,-116.10331,33.23451,1.14,-27.44364114759481,37.054455159016904
7857,2008-02-25 06:26:16.609,-116.58557,33.4589,1.07,-2.5603885279240157,-7.7791750256964205
7860,2008-02-25 06:57:27.514,-116.65799,33.9838,1.41,55.81357732558661,-14.409225722705612
7873,2008-02-25 08:39:47.654,-116.84782,33.93549,1.23,50.48427776615276,-31.930219194773954
7952,2008-02-25 18:17:27.565,-116.07501,33.27341,1.14,-23.10773411165077,39.668847910296165
7954,2008-02-25 18:25:11.623,-116.97737,33.986,1.13,56.14819050293821,-43.85590840252061
7986,2008-02-25 22:25:15.317,-116.07508,33.27299,1.07,-23.154462575518618,39.662531481048035
7990,2008-02-25 22:39:03.778,-116.38549,33.34761,2.07,-14.932378413492824,10.795647595783795
7993,2008-02-25 22:59:01.437,-116.38671,33.34805,3.02,-14.883578652725888,10.682271644604333
8007,2008-02-26 00:20:21.947,-116.3875,33.34919,1.17,-14.756897334743941,10.60875236382947
8015,2008-02-26 01:29:03.976,-116.80808,33.9003,1.4,46.55977033390269,-28.27562776487735
8026,2008-02-26 01:55:27.593,-116.21716,33.26239,1.03,-24.37826925856262,26.45714450045131
8027,2008-02-26 01:55:29.523,-116.21686,33.26309,1.33,-24.30035656145767,26.484825081093064
8123,2008-02-26 09:19:55.707,-116.47966,33.43109,1.04,-5.6556421207993495,2.046526060774269
8150,2008-02-26 10:32:09.563,-116.71999,33.20826,1.54,-30.412136277094117,-20.307439655476124
8167,2008-02-26 11:52:14.902,-116.55587,33.49138,1.19,1.0493923024232106,-5.022086693197937
8185,2008-02-26 15:13:38.152,-116.58669,33.45955,1.19,-2.4880273978891054,-7.8830158992728965
8327,2008-02-27 03:22:03.709,-116.79357,33.6891,1.0,23.071553881232486,-27.002810268841024
8461,2008-02-27 13:04:07.130,-116.57622,33.49486,1.49,1.4375196330473292,-6.908927372262082
8490,2008-02-27 17:23:46.370,-116.74074,33.97895,1.02,55.288866698321684,-22.040305550339173
8495,2008-02-27 17:57:53.186,-116.5754,33.49531,1.0,1.4875030924503865,-6.832853791968342
8521,2008-02-27 23:20:09.266,-116.42796,33.17467,1.38,-34.166031663530546,6.864347172765292
8629,2008-02-28 13:01:03.364,-116.47727,33.48087,1.29,-0.1203090841197514,2.2670102229294082
8635,2008-02-28 13:26:37.961,-116.36934,33.18864,2.16,-32.60723934521748,12.318214651528544
8659,2008-02-28 16:58:09.337,-116.72457,33.93082,1.71,49.933728058858485,-20.560872895876255
8660,2008-02-28 16:58:16.816,-116.72457,33.93084,1.07,49.93595195608931,-20.560868086192208
8725,2008-02-29 05:46:34.301,-116.51306,33.47687,1.05,-0.5652980854422438,-1.052358946560173
8828,2008-03-01 00:47:24.540,-116.35759,33.0146,1.2,-51.95814846870462,13.438302255239382
8861,2008-03-01 05:57:58.327,-116.50642,33.50152,1.39,2.1756092664267355,-0.43638374594975077
8957,2008-03-02 02:26:08.619,-116.91569,33.967,1.07,54.01102622880699,-38.17748879219717
8981,2008-03-02 06:43:25.675,-116.78057,33.68891,1.05,23.0471161421865,-25.80009857777548
9004,2008-03-02 07:59:53.814,-116.93026,33.95287,1.23,52.44531869413969,-39.52768501504637
9024,2008-03-02 09:51:53.551,-116.85289,33.97636,1.1,55.03038421216693,-32.382458190537704
9026,2008-03-02 09:54:43.093,-116.85232,33.97588,1.11,54.97683237284843,-32.33007964982463
9051,2008-03-02 12:16:58.645,-116.51178,33.47553,1.41,-0.7143115220577144,-0.9336551226854923
9053,2008-03-02 12:17:56.715,-116.51178,33.47553,1.45,-0.7143115220577144,-0.9336551226854923
9099,2008-03-03 01:13:38.672,-116.6107,33.45248,1.87,-3.272095972108581,-10.111179511750224
9114,2008-03-03 03:18:58.952,-116.6107,33.45248,1.17,-3.272095972108581,-10.111179511750224
9117,2008-03-03 03:47:52.044,-116.50471,33.49834,1.85,1.8220035190439285,-0.27783890935162603
9208,2008-03-03 18:59:49.453,-116.78272,33.67037,1.16,20.98610118449839,-26.00461578099311
9252,2008-03-04 04:33:52.326,-116.04777,33.21082,1.87,-30.056692430972895,42.23151215845503
9303,2008-03-04 10:28:03.048,-116.72725,33.50877,1.33,3.0044724021776124,-20.91046961302552
9335,2008-03-04 16:44:25.132,-116.5863,33.45943,2.72,-2.5014003158777096,-7.846847573679837
9366,2008-03-04 22:44:58.529,-116.71621,33.22326,1.37,-28.744944135263694,-19.952337530223787
9417,2008-03-05 09:51:56.748,-116.88203,33.97778,1.28,55.19778461250072,-35.06890302432696
9435,2008-03-05 12:19:39.214,-116.44688,33.45817,2.4,-2.643358130553045,5.086843437696685
9452,2008-03-05 15:42:41.713,-116.71478,33.57446,1.46,10.30642159525118,-19.739321786739204
9462,2008-03-05 18:08:12.695,-116.75103,33.71009,1.19,25.395260790819883,-23.061355469782757
9482,2008-03-06 00:11:20.744,-116.07599,33.23369,1.1,-27.52476126192525,39.595773568775
9531,2008-03-06 05:39:52.383,-116.86499,33.46977,1.02,-1.2959142768298357,-33.69608059567685
9574,2008-03-06 09:00:22.022,-116.98348,33.99331,1.34,56.96363133978931,-44.41544718363209
9598,2008-03-06 12:41:36.833,-116.44407,33.47053,1.34,-1.2688477601101271,5.34676075457177
9620,2008-03-06 17:21:04.147,-116.76725,33.28188,1.57,-22.21575538848811,-24.683443927774906
9668,2008-03-07 06:00:42.945,-116.93584,33.84408,1.05,40.350595744508674,-40.093298285653134
9672,2008-03-07 06:29:39.278,-116.50366,33.49904,1.27,1.8998376478816976,-0.18047551514815974
9683,2008-03-07 08:10:30.493,-116.58686,33.46012,1.02,-2.4246333810100054,-7.898734372624189
9717,2008-03-07 10:15:16.646,-116.49826,33.47051,1.14,-1.272549973378245,0.3203444564846049
9721,2008-03-07 10:16:13.590,-116.49831,33.47096,1.23,-1.2225124112499435,0.3157050449489947
9731,2008-03-07 10:19:12.748,-116.4987,33.47148,1.0,-1.1646921625682778,0.2795289289848209
9733,2008-03-07 10:20:26.250,-116.49817,33.47115,1.92,-1.2013849419361387,0.328690020015499
9735,2008-03-07 10:21:07.660,-116.49829,33.47076,1.52,-1.2447513276218949,0.31756087522023646
9742,2008-03-07 10:32:24.732,-116.71676,33.22367,1.06,-28.69924868138378,-20.003404198613698
9790,2008-03-07 17:11:51.020,-116.3359,33.99825,2.09,57.42171308876979,15.286008316663247
9820,2008-03-07 21:41:02.290,-116.40569,33.44835,1.16,-3.732517610649654,8.908992450044453
9869,2008-03-08 05:27:44.599,-116.58747,33.46034,1.0,-2.4001239493512774,-7.9553017696437855
9870,2008-03-08 05:29:31.665,-116.48749,33.49389,1.43,1.3272724140333032,1.3189646014071599
9896,2008-03-08 07:37:42.521,-116.72555,33.64871,1.79,18.56474064538584,-20.719261742264873
9900,2008-03-08 07:38:27.566,-116.72606,33.64742,1.66,18.421401279969135,-20.766780233127154
9902,2008-03-08 07:39:08.942,-116.72649,33.64843,1.04,18.5337942796936,-20.806339655524493
9922,2008-03-08 09:55:39.995,-116.7149,33.5751,1.02,10.377609144464165,-19.750292735988882
